id,conc,rawData,meanOD,cv,calConc,meanConc,bias
QC_front_QC2,800,"2.271
2.250",2.261,0.657%,"795.513
778.346",786.929,-1.634%
QC_back_QC2,800,"2.300
2.318",2.309,0.551%,"820.018
835.716",827.867,3.483%
QC_front_QC4,75,"0.372
0.381",0.377,1.690%,"70.530
72.301",71.416,-4.779%
QC_back_QC4,75,"0.375
0.373",0.374,0.378%,"71.120
70.727",70.924,-5.435%
QC_front_QC3,400,"1.503
1.506",1.505,0.141%,"369.554
370.682",370.118,-7.470%
QC_back_QC3,400,"1.512
0.917",1.215,34.642%,"372.948
190.376",281.662,-29.584%
