id,conc,rawData,meanOD,cv,calConc,meanConc,bias
QC_Front_QC2,800,"2.042
2.067",2.055,0.860%,"868.168
887.798",877.983,9.748%
QC_Back_QC2,800,"1.980
2.027",2.004,1.659%,"821.329
856.599",838.964,4.871%
QC_Front_QC4,75,"0.302
0.310",0.306,1.849%,"84.789
87.076",85.933,14.577%
QC_Back_QC4,75,"0.309
0.316",0.313,1.584%,"86.790
88.794",87.792,17.056%
QC_Front_QC3,400,"1.296
1.306",1.301,0.544%,"431.335
435.804",433.569,8.392%
QC_Back_QC3,400,"1.279
1.323",1.301,2.391%,"423.800
443.465",433.633,8.408%
