id,conc,rawData,meanOD,cv,calConc,meanConc,bias
QC_front_QC2,800,"2.390
2.360",2.375,0.893%,"850.883
825.472",838.177,4.772%
QC_back_QC2,800,"2.342
2.369",2.356,0.811%,"810.683
832.993",821.838,2.730%
QC_front_QC4,75,"0.416
0.410",0.413,1.027%,"77.263
76.093",76.678,2.237%
QC_back_QC4,75,"0.400
0.405",0.403,0.878%,"74.147
75.119",74.633,-0.489%
QC_front_QC3,400,"1.607
1.619",1.613,0.526%,"398.619
403.325",400.972,0.243%
QC_back_QC3,400,"1.556
1.565",1.561,0.408%,"379.109
382.495",380.802,-4.799%
