1,2,3,4,5,6,7,8,9,10,11,12
1539,1539,1541.5,1541.5,54.5,54.5,75.5,75.5,44.49925,44.49925,1626,1626
84,84,79.5,79.5,42.5,42.5,52.5,52.5,45.5005,45.5005,79.5,79.5
49.5,49.5,51,51,44.5,44.5,50.5,50.5,44.0016,44.0016,43.00065,43.00065
48,48,45.5,45.5,45.5,45.5,41.00005,41.00005,45.5,45.5,38.0016,38.0016
0,0,2859,2859,40.5,40.5,66.0429,66.0429,41.50035,41.50035,0,0
0,0,40.5,40.5,44.5,44.5,43.50105,43.50105,42.50195,42.50195,0,0
45,45,43.5,43.5,45.5,45.5,45.501,45.501,43.00205,43.00205,0,0
47,45,46,46,41.5,41.5,43.0008,43.0008,43.9983,43.9983,50,53
