1,2,3,4,5,6,7,8,9,10,11,12
1705.5,1705.5,1656.5,1656.5,55.5,55.5,75,75,43.5009,43.5009,1673.5,1673.5
85,85,80,80,44.5,44.5,47.5,47.5,40.49945,40.49945,80.5,80.5
42,42,45.5,45.5,49,49,47.5,47.5,41.4981,41.4981,41.5002,41.5002
42.5,42.5,45,45,50,50,43.002,43.002,43,43,41.9985,41.9985
0,0,3007.5,3007.5,44.5,44.5,77.89425,77.89425,44.5,44.5,0,0
0,0,42.5,42.5,46,46,43.0015,43.0015,43.0008,43.0008,0,0
47,45,43,43,43.5,43.5,42.5012,42.5012,42.99975,42.99975,0,0
44,45,48,48,45,45,47.0016,47.0016,49.5,49.5,49,49
