1,2,3,4,5,6,7,8,9,10,11,12
1462,1462,1490.5,1490.5,54.5,54.5,64.5,64.5,49.9983,49.9983,1637.5,1637.5
82,82,80.5,80.5,54.5,54.5,46,46,47.99815,47.99815,77,77
217.5,217.5,49,49,124.5,124.5,45,45,50.9952,50.9952,50.00325,50.00325
57.5,57.5,60.5,60.5,54,54,52.998,52.998,48.0006,48.0006,42.9985,42.9985
0,0,42,42,48.5,48.5,44.499,44.499,49.4991,49.4991,0,0
0,0,41.5,41.5,51,51,43.9983,43.9983,49.0008,49.0008,0,0
43,47,41,41,47.5,47.5,42.5006,42.5006,49.9985,49.9985,0,0
40,46,41,41,46.5,46.5,43.0008,43.0008,49.0017,49.0017,43,42
