1,2,3,4,5,6,7,8,9,10,11,12
1514.5,1514.5,1501.5,1501.5,45,45,74,74,43.5015,43.5015,1474,1474
76.5,76.5,75.5,75.5,45.5,45.5,45.5,45.5,47.0015,47.0015,78,78
301.5,301.5,43.5,43.5,110,110,44.5,44.5,47.498,47.498,54.9936,54.9936
46,46,55.5,55.5,48.5,48.5,46.9974,46.9974,47.5009,47.5009,46,46
0,0,39,39,43,43,43.5006,43.5006,43.4988,43.4988,0,0
0,0,43.5,43.5,51,51,42.99975,42.99975,46.5018,46.5018,0,0
38,40,42.5,42.5,44,44,44.50175,44.50175,53.4996,53.4996,0,0
42,42,42.5,42.5,45,45,44.00025,44.00025,47.502,47.502,44,45
