1,2,3,4,5,6,7,8,9,10,11,12
1639,1639,1553.5,1553.5,260.5,260.5,78.5,78.5,45.50935,45.50935,1693.5,1693.5
78.5,78.5,79,79,299.5,299.5,50,50,49.98655,49.98655,78.5,78.5
88,88,90,90,257,257,52,52,47.4936,47.4936,86.5,86.5
99.5,99.5,98,98,263.5,263.5,49.5,49.5,48.51035,48.51035,94.5,94.5
0,0,48.5,48.5,252.5,252.5,44.5,44.5,51.005,51.005,0,0
0,0,223,223,543,543,54.9918,54.9918,62.0106,62.0106,0,0
47.5,47.5,267.5,267.5,263,263,49.99575,49.99575,49.4966,49.4966,0,0
47.5,47.5,264.5,264.5,294.5,294.5,50.49305,50.49305,48.50415,48.50415,47.5,47.5
