id,conc,rawData,meanOD,cv,calConc,meanConc,bias
QC_Front_QC2,800,"2.340
2.292",2.316,1.466%,"816.785
769.096",792.941,-0.882%
QC_Back_QC2,800,"2.204
2.170",2.187,1.099%,"691.816
664.948",678.382,-15.202%
QC_Front_QC4,75,"0.413
0.423",0.418,1.692%,"74.090
75.836",74.963,-0.049%
QC_Back_QC4,75,"0.362
0.368",0.365,1.162%,"65.241
66.278",65.760,-12.320%
QC_Front_QC3,400,"1.578
1.583",1.581,0.224%,"354.469
356.290",355.380,-11.155%
QC_Back_QC3,400,"1.484
1.493",1.489,0.428%,"321.810
324.812",323.311,-19.172%
