id,conc,rawData,meanOD,cv,calConc,meanConc,bias
QC_Front_QC2,800,"2.405
2.392",2.399,0.383%,"767.467
757.355",762.411,-4.699%
QC_Back_QC2,800,"2.440
2.392",2.416,1.405%,"795.588
757.355",776.471,-2.941%
QC_Front_QC4,75,"0.430
0.419",0.425,1.832%,"72.594
70.655",71.624,-4.501%
QC_Back_QC4,75,"0.415
0.410",0.413,0.857%,"69.951
69.073",69.512,-7.317%
QC_Front_QC3,400,"1.675
1.661",1.668,0.593%,"379.305
374.234",376.770,-5.808%
QC_Back_QC3,400,"1.573
1.536",1.555,1.683%,"343.654
331.421",337.538,-15.616%
