1,2,3,4,5,6,7,8,9,10,11,12
1773.5,1773.5,1718.5,1718.5,80.5,80.5,81,81,45.4825,45.4825,1734.5,1734.5
83.5,83.5,84.5,84.5,84.5,84.5,48,48,45.968,45.968,77.5,77.5
93,93,94.5,94.5,85,85,44.5,44.5,47.005,47.005,88,88
100.5,100.5,100.5,100.5,47.5,47.5,43.5,43.5,46.5025,46.5025,94.5,94.5
74,74,46,46,60,60,45.5,45.5,46.5,46.5,48.026,48.026
0,0,50.5,50.5,74.5,74.5,44.9955,44.9955,51.0325,51.0325,0,0
54,54,68,68,92.5,92.5,46.988,46.988,54.02,54.02,0,0
54,54,85,85,79.5,79.5,53.465,53.465,54.537,54.537,54,54
